journey_date,train_number,section_number,from_station,from_code,to_station,to_code,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,scheduled_running_time_min,actual_running_time_min,section_delay_min,departure_delay_min,arrival_delay_min,delay_change_min,recovery_min
2026-08-25,12705,10,Kazipet Jn,KZJ,Ghanpur,GNP,2026-08-25 19:50:00+05:30,2026-08-25 20:19:00+05:30,2026-08-25 20:25:00+05:30,2026-08-25 20:44:00+05:30,29.0,19.0,-10.0,35.0,25.0,-10.0,10.0
2026-08-25,12705,11,Ghanpur,GNP,Jangaon,ZN,2026-08-25 20:20:00+05:30,2026-08-25 20:39:00+05:30,2026-08-25 20:45:00+05:30,2026-08-25 21:05:00+05:30,19.0,20.0,1.0,25.0,26.0,1.0,0.0
2026-08-25,12705,12,Jangaon,ZN,Aler,ALER,2026-08-25 20:40:00+05:30,2026-08-25 20:54:00+05:30,2026-08-25 21:06:00+05:30,,14.0,,,26.0,,,
2026-08-25,12705,13,Aler,ALER,Bhongir,BG,2026-08-25 20:55:00+05:30,2026-08-25 21:14:00+05:30,,,19.0,,,,,,
2026-08-25,12705,14,Bhongir,BG,Charlapalli,CHZ,2026-08-25 21:15:00+05:30,2026-08-25 21:44:00+05:30,,,29.0,,,,,,
2026-08-25,12705,15,Charlapalli,CHZ,Secunderabad Jn,SC,2026-08-25 21:45:00+05:30,2026-08-25 22:28:00+05:30,2026-08-25 22:11:00+05:30,2026-08-25 22:25:00+05:30,43.0,14.0,-29.0,26.0,-3.0,-29.0,29.0
2026-08-26,12705,1,Guntur Jn,GNT,Mangalagiri,MAG,2026-08-26 15:35:00+05:30,2026-08-26 15:56:00+05:30,2026-08-26 15:45:00+05:30,2026-08-26 16:11:00+05:30,21.0,26.0,5.0,10.0,15.0,5.0,0.0
2026-08-26,12705,2,Mangalagiri,MAG,Vijayawada Jn,BZA,2026-08-26 15:57:00+05:30,2026-08-26 16:20:00+05:30,2026-08-26 16:12:00+05:30,2026-08-26 16:46:00+05:30,23.0,34.0,11.0,15.0,26.0,11.0,0.0
2026-08-26,12705,3,Vijayawada Jn,BZA,Madhira,MDR,2026-08-26 16:25:00+05:30,2026-08-26 17:14:00+05:30,2026-08-26 16:53:00+05:30,2026-08-26 17:39:00+05:30,49.0,46.0,-3.0,28.0,25.0,-3.0,3.0
2026-08-26,12705,4,Madhira,MDR,Khammam,KMT,2026-08-26 17:15:00+05:30,2026-08-26 17:49:00+05:30,2026-08-26 17:40:00+05:30,2026-08-26 18:47:00+05:30,34.0,67.0,33.0,25.0,58.0,33.0,0.0
2026-08-26,12705,5,Khammam,KMT,Dornakal Jn,DKJ,2026-08-26 17:50:00+05:30,2026-08-26 18:09:00+05:30,2026-08-26 18:50:00+05:30,2026-08-26 19:09:00+05:30,19.0,19.0,0.0,60.0,60.0,0.0,0.0
2026-08-26,12705,6,Dornakal Jn,DKJ,Mahbubabad,MABD,2026-08-26 18:10:00+05:30,2026-08-26 18:29:00+05:30,2026-08-26 19:11:00+05:30,2026-08-26 19:29:00+05:30,19.0,18.0,-1.0,61.0,60.0,-1.0,1.0
2026-08-26,12705,7,Mahbubabad,MABD,Nekonda,NKD,2026-08-26 18:30:00+05:30,2026-08-26 18:54:00+05:30,2026-08-26 19:30:00+05:30,2026-08-26 19:52:00+05:30,24.0,22.0,-2.0,60.0,58.0,-2.0,2.0
2026-08-26,12705,8,Nekonda,NKD,Warangal,WL,2026-08-26 18:55:00+05:30,2026-08-26 19:28:00+05:30,2026-08-26 19:54:00+05:30,2026-08-26 20:15:00+05:30,33.0,21.0,-12.0,59.0,47.0,-12.0,12.0
2026-08-26,12705,9,Warangal,WL,Kazipet Jn,KZJ,2026-08-26 19:30:00+05:30,2026-08-26 19:48:00+05:30,2026-08-26 20:20:00+05:30,,18.0,,,50.0,,,
2026-08-26,12705,10,Kazipet Jn,KZJ,Ghanpur,GNP,2026-08-26 19:50:00+05:30,2026-08-26 20:19:00+05:30,2026-08-26 20:38:00+05:30,2026-08-26 20:54:00+05:30,29.0,16.0,-13.0,48.0,35.0,-13.0,13.0
2026-08-26,12705,11,Ghanpur,GNP,Jangaon,ZN,2026-08-26 20:20:00+05:30,2026-08-26 20:39:00+05:30,2026-08-26 20:55:00+05:30,,19.0,,,35.0,,,
2026-08-26,12705,12,Jangaon,ZN,Aler,ALER,2026-08-26 20:40:00+05:30,2026-08-26 20:54:00+05:30,,2026-08-26 21:35:00+05:30,14.0,,,,41.0,,
2026-08-26,12705,13,Aler,ALER,Bhongir,BG,2026-08-26 20:55:00+05:30,2026-08-26 21:14:00+05:30,2026-08-26 21:36:00+05:30,,19.0,,,41.0,,,
2026-08-26,12705,14,Bhongir,BG,Charlapalli,CHZ,2026-08-26 21:15:00+05:30,2026-08-26 21:44:00+05:30,,,29.0,,,,,,
2026-08-26,12705,15,Charlapalli,CHZ,Secunderabad Jn,SC,2026-08-26 21:45:00+05:30,2026-08-26 22:28:00+05:30,,2026-08-26 22:23:00+05:30,43.0,,,,-5.0,,
2026-08-27,12705,1,Guntur Jn,GNT,Mangalagiri,MAG,2026-08-27 15:35:00+05:30,2026-08-27 15:56:00+05:30,2026-08-27 16:44:00+05:30,2026-08-27 17:07:00+05:30,21.0,23.0,2.0,69.0,71.0,2.0,0.0
2026-08-27,12705,2,Mangalagiri,MAG,Vijayawada Jn,BZA,2026-08-27 15:57:00+05:30,2026-08-27 16:20:00+05:30,2026-08-27 17:08:00+05:30,2026-08-27 17:36:00+05:30,23.0,28.0,5.0,71.0,76.0,5.0,0.0
2026-08-27,12705,3,Vijayawada Jn,BZA,Madhira,MDR,2026-08-27 16:25:00+05:30,2026-08-27 17:14:00+05:30,2026-08-27 17:47:00+05:30,2026-08-27 18:33:00+05:30,49.0,46.0,-3.0,82.0,79.0,-3.0,3.0
2026-08-27,12705,4,Madhira,MDR,Khammam,KMT,2026-08-27 17:15:00+05:30,2026-08-27 17:49:00+05:30,2026-08-27 18:35:00+05:30,2026-08-27 19:13:00+05:30,34.0,38.0,4.0,80.0,84.0,4.0,0.0
2026-08-27,12705,5,Khammam,KMT,Dornakal Jn,DKJ,2026-08-27 17:50:00+05:30,2026-08-27 18:09:00+05:30,2026-08-27 19:15:00+05:30,2026-08-27 19:36:00+05:30,19.0,21.0,2.0,85.0,87.0,2.0,0.0
2026-08-27,12705,6,Dornakal Jn,DKJ,Mahbubabad,MABD,2026-08-27 18:10:00+05:30,2026-08-27 18:29:00+05:30,2026-08-27 19:39:00+05:30,2026-08-27 20:00:00+05:30,19.0,21.0,2.0,89.0,91.0,2.0,0.0
2026-08-27,12705,7,Mahbubabad,MABD,Nekonda,NKD,2026-08-27 18:30:00+05:30,2026-08-27 18:54:00+05:30,2026-08-27 20:02:00+05:30,2026-08-27 20:26:00+05:30,24.0,24.0,0.0,92.0,92.0,0.0,0.0
2026-08-27,12705,8,Nekonda,NKD,Warangal,WL,2026-08-27 18:55:00+05:30,2026-08-27 19:28:00+05:30,2026-08-27 20:27:00+05:30,2026-08-27 20:54:00+05:30,33.0,27.0,-6.0,92.0,86.0,-6.0,6.0
2026-08-27,12705,9,Warangal,WL,Kazipet Jn,KZJ,2026-08-27 19:30:00+05:30,2026-08-27 19:48:00+05:30,2026-08-27 20:56:00+05:30,2026-08-27 21:13:00+05:30,18.0,17.0,-1.0,86.0,85.0,-1.0,1.0
2026-08-27,12705,10,Kazipet Jn,KZJ,Ghanpur,GNP,2026-08-27 19:50:00+05:30,2026-08-27 20:19:00+05:30,2026-08-27 21:16:00+05:30,2026-08-27 21:34:00+05:30,29.0,18.0,-11.0,86.0,75.0,-11.0,11.0
2026-08-27,12705,11,Ghanpur,GNP,Jangaon,ZN,2026-08-27 20:20:00+05:30,2026-08-27 20:39:00+05:30,2026-08-27 21:35:00+05:30,2026-08-27 21:58:00+05:30,19.0,23.0,4.0,75.0,79.0,4.0,0.0
2026-08-27,12705,12,Jangaon,ZN,Aler,ALER,2026-08-27 20:40:00+05:30,2026-08-27 20:54:00+05:30,2026-08-27 22:00:00+05:30,2026-08-27 22:17:00+05:30,14.0,17.0,3.0,80.0,83.0,3.0,0.0
2026-08-27,12705,13,Aler,ALER,Bhongir,BG,2026-08-27 20:55:00+05:30,2026-08-27 21:14:00+05:30,2026-08-27 22:27:00+05:30,2026-08-27 22:50:00+05:30,19.0,23.0,4.0,92.0,96.0,4.0,0.0
2026-08-27,12705,14,Bhongir,BG,Charlapalli,CHZ,2026-08-27 21:15:00+05:30,2026-08-27 21:44:00+05:30,2026-08-27 22:52:00+05:30,2026-08-27 23:23:00+05:30,29.0,31.0,2.0,97.0,99.0,2.0,0.0
2026-08-27,12705,15,Charlapalli,CHZ,Secunderabad Jn,SC,2026-08-27 21:45:00+05:30,2026-08-27 22:28:00+05:30,2026-08-27 23:24:00+05:30,2026-08-27 23:51:00+05:30,43.0,27.0,-16.0,99.0,83.0,-16.0,16.0
2026-08-28,12705,1,Guntur Jn,GNT,Mangalagiri,MAG,2026-08-28 15:35:00+05:30,2026-08-28 15:56:00+05:30,2026-08-28 15:41:00+05:30,2026-08-28 16:04:00+05:30,21.0,23.0,2.0,6.0,8.0,2.0,0.0
2026-08-28,12705,2,Mangalagiri,MAG,Vijayawada Jn,BZA,2026-08-28 15:57:00+05:30,2026-08-28 16:20:00+05:30,2026-08-28 16:07:00+05:30,2026-08-28 16:39:00+05:30,23.0,32.0,9.0,10.0,19.0,9.0,0.0
